id,question,recycling,reason
15,plasticpackaging,never,To time consuming
15,aluminium,always,NA
15,steel,always,NA
15,electronics,never,I keep them because I think I can use them again
15,batteries,always,NA
15,coffeecapsules,I do not use/buy,NA
16,PET,very often,To time consuming
16,paper,always,NA
16,cardboard,always,NA
16,glas,always,NA
16,milkcarton,never,I did not know one could recycle it
16,plasticbottles,always,NA
16,plasticpackaging,sometimes,No recycling opportunity near me
16,aluminium,very often,It is not important to me
16,steel,always,NA
16,electronics,always,NA
16,batteries,always,NA
16,coffeecapsules,I do not use/buy,NA
17,PET,always,NA
17,paper,always,NA
17,cardboard,always,NA
17,glas,always,NA
17,milkcarton,never,Falsch recyclet
17,plasticbottles,I do not use/buy,NA
17,plasticpackaging,never,I did not know one could recycle it
17,aluminium,I do not use/buy,NA
17,steel,I do not use/buy,NA
17,electronics,I do not use/buy,NA
17,batteries,I do not use/buy,NA
17,coffeecapsules,I do not use/buy,NA
18,PET,very often,No recycling opportunity near me
18,paper,very often,It is not important to me
18,cardboard,always,NA
18,glas,always,NA
18,milkcarton,never,I did not know one could recycle it
18,plasticbottles,always,NA
18,plasticpackaging,never,I did not know one could recycle it
18,aluminium,sometimes,It is not important to me
18,steel,always,NA
18,electronics,very often,To time consuming
18,batteries,always,NA
18,coffeecapsules,I do not use/buy,NA
19,PET,very often,No recycling opportunity near me
19,paper,rarely,It is not important to me
19,cardboard,very often,It is not important to me
19,glas,never,I do not know where to bring it
19,milkcarton,never,I did not know one could recycle it
19,plasticbottles,I do not use/buy,NA
19,plasticpackaging,never,I did not know one could recycle it
19,aluminium,I do not use/buy,NA
19,steel,never,It is not important to me
19,electronics,I do not use/buy,NA
19,batteries,I do not use/buy,NA
19,coffeecapsules,I do not use/buy,NA
20,PET,rarely,No recycling opportunity near me
20,paper,always,NA
20,cardboard,always,NA
20,glas,always,NA
20,milkcarton,never,I did not know one could recycle it
20,plasticbottles,never,No recycling opportunity near me
20,plasticpackaging,never,I did not know one could recycle it
20,aluminium,I do not use/buy,NA
20,steel,always,NA
20,electronics,always,NA
20,batteries,always,NA
20,coffeecapsules,I do not use/buy,NA
21,PET,very often,No recycling opportunity near me
21,paper,always,NA
21,cardboard,always,NA
21,glas,always,NA
21,milkcarton,never,I did not know one could recycle it
21,plasticbottles,always,NA
21,plasticpackaging,never,No place to store separate items until recycling
21,aluminium,always,NA
21,steel,always,NA
21,electronics,never,I keep them because I think I can use them again
21,batteries,always,NA
21,coffeecapsules,I do not use/buy,NA
22,PET,always,NA
22,paper,always,NA
22,cardboard,always,NA
22,glas,always,NA
22,milkcarton,never,No recycling opportunity near me
22,plasticbottles,always,NA
22,plasticpackaging,never,No recycling opportunity near me
22,aluminium,very often,It is not important to me
22,steel,very often,It is not important to me
22,electronics,I do not use/buy,I keep them because I think I can use them again
22,batteries,always,NA
22,coffeecapsules,I do not use/buy,NA
23,PET,always,NA
23,paper,sometimes,No recycling opportunity near me
23,cardboard,very often,No recycling opportunity near me
23,glas,very often,No recycling opportunity near me
23,milkcarton,never,I did not know one could recycle it
23,plasticbottles,never,I do not know where to bring it
23,plasticpackaging,never,No place to store separate items until recycling
23,aluminium,very often,No recycling opportunity near me
23,steel,always,NA
23,electronics,always,NA
23,batteries,always,NA
23,coffeecapsules,I do not use/buy,NA
24,PET,always,NA
24,paper,sometimes,It is not important to me
24,cardboard,always,NA
24,glas,always,NA
24,milkcarton,never,No recycling opportunity near me
24,plasticbottles,always,NA
24,plasticpackaging,never,I did not know one could recycle it
24,aluminium,always,NA
24,steel,always,NA
24,electronics,always,NA
24,batteries,always,NA
24,coffeecapsules,I do not use/buy,NA
25,PET,always,NA
25,paper,always,NA
25,cardboard,very often,Multiple materials
25,glas,always,NA
25,milkcarton,sometimes,I do not know where to bring it
25,plasticbottles,always,NA
25,plasticpackaging,never,I did not know one could recycle it
25,aluminium,always,NA
25,steel,always,NA
25,electronics,rarely,I keep them because I think I can use them again
25,batteries,always,NA
25,coffeecapsules,I do not use/buy,NA
26,PET,always,NA
26,paper,very often,Sensitive data
26,cardboard,very often,It is not important to me
26,glas,always,NA
26,milkcarton,never,No recycling opportunity near me
26,plasticbottles,always,NA
26,plasticpackaging,never,I did not know one could recycle it
26,aluminium,very often,I do not think it would make a difference
26,steel,always,NA
26,electronics,always,NA
26,batteries,always,NA
26,coffeecapsules,very often,No recycling opportunity near me
27,PET,very often,No recycling opportunity near me
27,paper,sometimes,To time consuming
27,cardboard,very often,To time consuming
27,glas,always,NA
27,milkcarton,never,No place to store separate items until recycling
27,plasticbottles,always,NA
27,plasticpackaging,never,I did not know one could recycle it
27,aluminium,very often,No recycling opportunity near me
27,steel,always,NA
27,electronics,very often,To time consuming
27,batteries,very often,I do not know where to bring it
27,coffeecapsules,I do not use/buy,NA
